Time,Mesh_Current
58:44.7,1528
58:45.7,1527
58:46.7,1528
58:47.7,1530
58:48.7,1529
58:49.7,1529
58:50.7,1529
58:51.7,1530
58:52.7,1529
58:53.7,1529
58:54.7,1529
58:55.7,1528
58:56.7,1529
58:57.7,1529
58:58.7,1529
58:59.7,1530
59:00.7,1529
59:01.7,1529
59:02.6,1529
59:03.6,1527
59:04.6,1528
59:05.6,1527
59:06.6,1527
59:07.6,1526
59:08.6,1528
59:09.6,1527
59:10.6,1527
59:11.6,1526
59:12.6,1527
59:13.6,1526
59:14.6,1526
59:15.6,1525
59:16.6,1527
59:17.6,1527
59:18.6,1527
59:19.6,1529
59:20.6,1528
59:21.6,1529
59:22.6,1529
59:23.6,1529
59:24.6,1529
59:25.6,1529
59:26.6,1528
59:27.6,1529
59:28.6,1528
59:29.6,1528
59:30.6,1529
59:31.6,1529
59:32.6,1529
59:33.6,1530
59:34.6,1530
59:35.6,1529
59:36.6,1528
59:37.6,1528
59:38.6,1530
59:39.6,1529
59:40.6,1528
59:41.6,1528
59:42.6,1529
59:43.6,1536
59:44.6,1534
59:45.6,1536
59:46.6,1534
59:47.6,1534
59:48.6,1535
59:49.6,1532
59:50.6,1532
59:51.6,1532
59:52.6,1533
59:53.6,1533
59:54.6,1532
59:55.6,1533
59:56.6,1532
59:57.6,1532
59:58.6,1533
59:59.6,1533
00:00.6,1532
00:01.6,1532
00:02.6,1532
00:03.6,1533
00:04.6,1533
00:05.6,1533
00:06.6,1533
00:07.6,1533
00:08.6,1533
00:09.6,1532
00:10.6,1532
00:11.6,1533
00:12.6,1532
00:13.6,1534
00:14.6,1534
00:15.6,1532
00:16.6,1534
00:17.6,1534
00:18.6,1533
00:19.6,1533
00:20.6,1533
00:21.6,1535
00:22.6,1534
00:23.6,1532
00:24.6,1534
00:25.6,1533
00:26.6,1534
00:27.6,1534
00:28.6,1533
00:29.6,1532
00:30.6,1534
00:31.6,1532
00:32.6,1532
00:33.6,1533
00:34.6,1533
00:35.6,1532
00:36.6,1532
00:37.6,1532
00:38.6,1533
00:39.6,1531
00:40.6,1534
00:41.6,1533
00:42.6,1532
00:43.6,1539
00:44.6,1538
00:45.6,1537
00:46.6,1537
00:47.6,1535
00:48.6,1536
00:49.6,1536
00:50.6,1534
00:51.6,1535
00:52.6,1536
00:53.6,1534
00:54.6,1534
00:55.6,1534
00:56.6,1536
00:57.6,1535
00:58.6,1536
00:59.6,1535
01:00.6,1536
01:01.6,1536
01:02.6,1535
01:03.6,1537
01:04.6,1537
01:05.6,1535
01:06.6,1536
01:07.6,1535
01:08.6,1536
01:09.6,1537
01:10.6,1538
01:11.6,1536
01:12.6,1536
